,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Bias_7,Time,Fidelity
0,-10.0,-2.123,-10.0,-10.0,-10.0,-3.4892000000000003,-10.0,23.862000000000002,0.9053043541669317
1,10.0,5.0132,10.0,10.0,9.9168,2.8824,10.0,16.953000000000003,0.7409045267908982
2,-10.0,-4.2186,-10.0,-8.7688,-10.0,-2.3088,-10.0,25.277700000000003,0.7160833442081695
3,10.0,2.818,10.0,10.0,10.0,1.8962,10.0,17.957400000000003,0.6490101508532106
4,10.0,5.804,10.0,1.6932,10.0,5.369400000000001,10.0,29.999700000000004,0.7895465359236713
5,10.0,9.3572,10.0,10.0,10.0,10.0,10.0,4.089,0.6924867795153757
6,10.0,5.2266,10.0,10.0,10.0,4.3224,10.0,21.7344,0.6429161205652134
7,10.0,2.6906000000000003,10.0,10.0,10.0,-2.5796,10.0,29.999700000000004,0.659498130171104
8,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.2792,0.8467361811502978
9,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.8796000000000004,0.638232041035008
10,-10.0,-2.1002,-10.0,-10.0,-10.0,4.103,-10.0,29.999700000000004,0.6391969178913126
11,10.0,3.9888000000000003,10.0,10.0,10.0,3.2008,10.0,19.365000000000002,0.8987342632300831
12,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,12.666300000000001,0.673993927697343
13,10.0,1.3226,10.0,10.0,10.0,2.2198,10.0,19.842000000000002,0.688939978582343
14,10.0,10.0,10.0,9.8086,10.0,10.0,10.0,4.4526,0.8707293241584166
15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.1535,0.7970456354862427
16,-10.0,-2.8424,-10.0,-3.923,-10.0,-3.1014,-10.0,18.576,0.6367205611329044
17,-10.0,1.5154,-10.0,-8.7928,-10.0,-0.629,-10.0,29.999700000000004,0.882308252807908
18,-10.0,-1.8962,-10.0,-4.8754,-10.0,1.5210000000000001,-10.0,29.999700000000004,0.7720770463797031
19,10.0,-1.0170000000000001,10.0,10.0,10.0,1.893,10.0,23.427300000000002,0.6949789387869785
20,-10.0,-1.2926,-10.0,-8.6234,-10.0,-4.8444,-10.0,21.433500000000002,0.7137546239878033
21,10.0,2.351,10.0,10.0,10.0,1.7844,10.0,29.999700000000004,0.828673915943424
22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.9198,0.6702722891582266
23,-10.0,-0.4536,-10.0,-10.0,-10.0,-0.2872,-10.0,22.2696,0.6557937795680983
24,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.814800000000002,0.6791961983975023
25,-10.0,-1.3682,-10.0,-10.0,-10.0,-2.9576000000000002,-10.0,29.999700000000004,0.7432593324493362
26,10.0,1.4054,10.0,10.0,10.0,-1.647,10.0,29.999700000000004,0.857218709668874
27,10.0,1.6908,10.0,6.1802,10.0,-0.8334,10.0,29.999700000000004,0.802258542899249
28,-10.0,0.4908,-10.0,-5.9156,-10.0,0.2962,-10.0,29.999700000000004,0.8572250388861189
29,-10.0,-1.6454,-10.0,-1.4124,-10.0,-1.4998,-10.0,22.498800000000003,0.642194909923842
30,-10.0,3.8568000000000002,-10.0,-10.0,-10.0,0.6846,-10.0,29.999700000000004,0.7211251006382594
31,-10.0,0.6976,-10.0,-4.4488,-10.0,-1.6528,-10.0,29.999700000000004,0.7512956807608252
32,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.212300000000001,0.822622031193343
33,10.0,-0.6112000000000001,10.0,10.0,10.0,1.0864,10.0,29.999700000000004,0.9322807882229147
34,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.1424,0.7917964526758803
35,-10.0,-2.9906,-10.0,-7.7942,-10.0,0.2852,-10.0,21.471600000000002,0.6612293751659398
36,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,12.789000000000001,0.6797991961652252
37,-10.0,-10.0,-10.0,-10.0,-10.0,-9.265600000000001,-10.0,4.5099,0.7634926830464579
38,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.8474,0.7835922662431448
39,10.0,0.3588,10.0,6.6454,10.0,0.3768,10.0,29.999700000000004,0.8616346180698676
40,-10.0,-2.3498,-10.0,-9.1712,-10.0,-3.1636,-10.0,21.777600000000003,0.904246731800197
41,10.0,-0.757,10.0,10.0,10.0,-1.5470000000000002,10.0,29.454900000000002,0.8416486039357295
42,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0574,0.6442216459299959
43,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.9194,0.741260748519311
44,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.881,0.7646422938184538
45,-10.0,-3.7024000000000004,-10.0,-10.0,-10.0,-1.5872000000000002,-10.0,24.642300000000002,0.8422528644923216
46,-10.0,-1.9472,-10.0,-7.6436,-10.0,-2.6100000000000003,-10.0,21.5562,0.8194326137227602
47,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,12.481800000000002,0.6390746598211954
48,10.0,-0.40640000000000004,10.0,10.0,10.0,-3.4088000000000003,10.0,29.999700000000004,0.7568849629746913
49,-10.0,3.7124,-10.0,-10.0,-10.0,-1.1234,-10.0,29.446500000000004,0.716200311184585
50,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.041600000000001,0.7387716983028841
51,-10.0,-3.0330000000000004,-10.0,-7.722,-10.0,1.4646000000000001,-10.0,26.1369,0.723765121198048
52,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.966200000000001,0.7104685471110666
53,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.571700000000001,0.877243185179631
54,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.860600000000001,0.7763215393515809
55,-1.3884,0.1476,-2.4872,-2.2008,-3.2338,0.6578,-1.5094,22.636200000000002,0.6623553975732818
56,-10.0,-1.3582,-10.0,-10.0,-10.0,-2.4232,-10.0,29.590200000000003,0.8605259333264814
57,-10.0,-0.4358,-10.0,-10.0,-10.0,-1.7488000000000001,-10.0,22.2828,0.7474858663837318
58,-10.0,1.325,-10.0,-10.0,-10.0,4.4510000000000005,-10.0,29.999700000000004,0.664975504319947
59,10.0,1.205,10.0,10.0,10.0,-1.3472000000000002,10.0,29.999700000000004,0.8864617483536201
60,10.0,10.0,9.540600000000001,10.0,10.0,10.0,9.530000000000001,4.0566,0.6665628635057688
61,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.008900000000001,0.7197586179983861
62,-10.0,0.0126,-10.0,-10.0,-10.0,-2.0042,-10.0,29.999700000000004,0.8925164513886028
63,10.0,2.0882,10.0,10.0,10.0,-1.274,10.0,27.972600000000003,0.8168605005164917
64,10.0,-0.5254,10.0,10.0,10.0,2.0058000000000002,10.0,25.200000000000003,0.8133402587061407
65,-10.0,-2.7428000000000003,-10.0,-10.0,-10.0,-0.34140000000000004,-10.0,29.1123,0.8232153926502035
66,10.0,1.5762,10.0,6.857200000000001,10.0,4.4914000000000005,10.0,22.6488,0.7483648078398784
67,10.0,1.8612000000000002,10.0,10.0,10.0,2.2928,10.0,27.054000000000002,0.9434257005579514
68,10.0,-0.034800000000000005,10.0,6.227,10.0,0.7040000000000001,10.0,24.440700000000003,0.735111160677953
69,-10.0,4.5924000000000005,-10.0,-10.0,-10.0,-0.537,-10.0,29.999700000000004,0.6849376679683824
70,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.5951,0.8739012981086507
71,10.0,0.20140000000000002,10.0,5.5242,10.0,-1.959,10.0,29.999700000000004,0.8182462446822961
72,-10.0,-10.0,-10.0,-10.0,-10.0,-8.9204,-10.0,4.3464,0.6520460343573043
73,10.0,1.3048,10.0,6.937,10.0,0.2044,10.0,24.096300000000003,0.7717004189840789
74,10.0,-0.8316,10.0,10.0,10.0,-0.4968,10.0,29.999700000000004,0.9114283246523868
75,10.0,-2.6140000000000003,10.0,10.0,10.0,-0.2632,10.0,29.999700000000004,0.8125971868911942
76,-10.0,-10.0,-10.0,-10.0,-10.0,-9.347000000000001,-10.0,4.766400000000001,0.7322530475311912
77,-10.0,-2.2308,-10.0,-10.0,-10.0,-2.5504000000000002,-10.0,25.9569,0.9470686427762
78,-10.0,-3.2382,-10.0,-10.0,-10.0,-4.9910000000000005,-10.0,19.548000000000002,0.8323659035240172
79,10.0,5.4688,10.0,10.0,10.0,5.6132,10.0,15.910200000000001,0.8991570278043064
80,-10.0,-0.6072000000000001,-10.0,-6.0478000000000005,-10.0,-2.0848,-10.0,22.714800000000004,0.7085518518567865
81,10.0,3.1660000000000004,10.0,10.0,10.0,4.0518,10.0,20.961000000000002,0.9257119158681077
82,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.896000000000001,0.7557212264550714
83,-10.0,-0.40080000000000005,-10.0,-10.0,-10.0,-3.2522,-10.0,22.888800000000003,0.7911508300318746
84,-10.0,-3.5972,-10.0,-10.0,-10.0,-3.1354,-10.0,21.7542,0.9454929808161745
85,-10.0,-5.0194,-10.0,-10.0,-10.0,-3.8254,-10.0,16.3851,0.8382839839020875
86,10.0,1.7956,10.0,7.792400000000001,10.0,5.018800000000001,10.0,16.7256,0.6388191388852894
87,10.0,-0.1564,10.0,9.802,10.0,1.721,10.0,21.303300000000004,0.6362503617444342
88,10.0,0.0198,10.0,10.0,10.0,2.7916000000000003,10.0,26.481600000000004,0.8434835497208719
89,10.0,10.0,10.0,9.598600000000001,9.5532,10.0,10.0,12.9381,0.6449317359881332
90,10.0,1.3162,10.0,10.0,10.0,-4.742,10.0,29.999700000000004,0.6538080054608013
91,-10.0,-3.274,-10.0,-8.2956,-10.0,-3.3046,-10.0,22.446600000000004,0.9128962112422091
92,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.145700000000001,0.7933703255256188
93,-10.0,2.2284,-10.0,-10.0,-9.9732,1.5976000000000001,-10.0,29.999700000000004,0.77968648188442
94,10.0,-0.4368,10.0,10.0,10.0,-1.2962,10.0,29.999700000000004,0.8896472369427253
95,10.0,-0.9862000000000001,10.0,7.6048,10.0,1.903,10.0,29.999700000000004,0.8530294062506383
96,10.0,9.776,10.0,10.0,10.0,10.0,10.0,4.4706,0.8692434101226144
97,-10.0,0.32,-10.0,-10.0,-10.0,-2.931,-10.0,22.058400000000002,0.7058271075321143
98,-10.0,-0.5676,-10.0,-4.4996,-10.0,3.1478,-10.0,29.999700000000004,0.7071975346796147
99,10.0,3.8638000000000003,10.0,10.0,10.0,4.1566,10.0,20.3091,0.9344685783080453
