,Bias_1,Bias_2,Bias_3,Bias_4,Time,Fidelity
0,-10.0,-9.992492042957474,-9.947716383622245,10.0,2.2253269499793054,0.9974622879944814
1,-8.706350766697179,8.880697647621563,-8.64883953403453,8.624778607644105,27.84882010915044,0.99854711199134
2,-10.0,-10.0,-9.950266757377866,10.0,6.66862737831826,0.9974945538543843
3,-10.0,-5.295925476473948,-9.950516804793912,10.0,8.014057544936954,0.9975044663406147
4,-10.0,-10.0,-9.950266429138033,10.0,6.668626949433102,0.9974945538544207
5,10.0,10.0,9.9502666375725,-10.0,6.668627001708326,0.9974945538544631
6,10.0,10.0,9.950263090246047,-10.0,2.222904250753314,0.9974818164882604
7,-10.0,-10.0,-9.95026286263967,10.0,2.2229041699330585,0.9974818164882714
8,10.0,10.0,9.95026853806566,-10.0,6.6686170146561805,0.997494553749108
9,-10.0,-10.0,-9.950260476492357,10.0,2.222902218904412,0.9974818164823993
10,-10.0,-10.0,-9.950262485927523,10.0,2.222904183787339,0.9974818164882188
11,-9.889219822305003,-7.360516455934787,-9.84011283783682,10.0,4.9692713630521945,0.9974611713785976
12,-10.0,-10.0,-9.95026297861489,10.0,2.222904120020652,0.9974818164882604
13,-10.0,-4.514400095703396,-9.9502766277238,10.0,9.163383990791466,0.997487524699928
14,10.0,10.0,9.950266695095664,-10.0,6.668627123821238,0.9974945538544666
15,9.999573600709626,10.0,9.949987923559467,-10.0,2.223871211475095,0.9974807321830222
16,9.98008231389262,-6.567559054931815,9.930178537455662,-9.998112686213485,26.200637517235013,0.9974995754640251
17,10.0,10.0,9.950251596676871,-10.0,11.11420392527772,0.9975044187513867
18,10.0,10.0,9.950267495979071,-10.0,6.668627339277961,0.9974945538536618
19,10.0,10.0,9.950249186113922,-10.0,2.2229056434827434,0.9974818164251688
20,10.0,10.0,9.950268033061889,-10.0,6.6686276626345915,0.9974945538522291
21,-10.0,-10.0,-9.950268224089255,10.0,2.222904117599009,0.9974818164790328
22,-10.0,-10.0,-9.950266545977067,10.0,6.668627267669093,0.9974945538544553
23,10.0,10.0,9.950261153505691,-10.0,2.2229052395262894,0.997481816486249
24,-9.999036209959232,-10.0,-9.949773187087787,10.0,2.2230403425701626,0.9974813283232934
25,10.0,10.0,9.950260532260192,-10.0,2.2229038353996002,0.9974818164863138
26,10.0,10.0,9.9502626044616,-10.0,2.222904437154689,0.9974818164882002
27,10.0,5.73269999089338,9.950520513455814,-10.0,7.363439197301292,0.9974920665452023
28,-10.0,-10.0,-9.950262276635621,10.0,2.2229027259846914,0.9974818164859378
29,10.0,8.766872963006131,9.951319540578588,-10.0,10.186305664458265,0.9975057659667224
30,-10.0,-9.999375827265213,-9.95004478590276,10.0,2.2234131607178327,0.9974814598612293
31,-10.0,-9.999922033425776,-9.950096110904852,10.0,15.559739419837975,0.997499377344049
32,10.0,8.368642305722426,9.951194377413865,-10.0,3.8502842228902745,0.9974954545621384
33,-10.0,-10.0,-9.950253665591994,10.0,2.222892825261299,0.9974818163315399
34,10.0,10.0,9.95025224014549,-10.0,11.114198936194418,0.9975044187745641
35,-10.0,-10.0,-9.950270125683323,10.0,2.222904379310231,0.9974818164712539
36,10.0,10.0,9.950270639872135,-10.0,2.222903938991243,0.997481816468701
37,-9.328005718907553,9.360095423626019,-9.274598376763942,9.34234703439355,29.546059553516507,0.9991630093307655
38,-10.0,-8.368653199874181,-9.951196304368695,10.0,3.8502920347150797,0.9974954546191004
39,10.0,10.0,9.950250946255931,-10.0,11.114198193076385,0.9975044187696656
40,-10.0,-9.999989664940488,-9.950252462920892,10.0,2.2229042593777106,0.9974818163628474
41,-10.0,-10.0,-9.950263195813788,10.0,2.2229046099244214,0.9974818164880896
42,-10.0,-10.0,-9.950262983071887,10.0,2.2229041884327594,0.997481816488271
43,10.0,10.0,9.95025550493451,-10.0,2.2229035535611823,0.9974818164700826
44,10.0,9.999997174389442,9.950276269688263,-10.0,2.222904396579807,0.9974818163913504
