,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Time,Fidelity
0,-10.0,-10.0,-10.0,10.0,7.917800000000001,2.2767000000000004,0.993740736202719
1,-10.0,-10.0,-9.938600000000001,10.0,-9.1582,15.5286,0.9958900291677343
2,-10.0,-10.0,-10.0,10.0,6.8212,2.3196000000000003,0.9873001851706144
3,-10.0,-10.0,-10.0,8.691600000000001,-10.0,2.1723000000000003,0.990511948797895
4,-10.0,-10.0,-10.0,4.2336,3.3544,6.657900000000001,0.9902305903054938
5,7.8082,-8.0066,7.7532000000000005,-9.8886,9.958400000000001,25.344600000000003,0.9902478924841799
6,10.0,10.0,10.0,0.8576,-10.0,2.2107,0.9838001655053171
7,-10.0,-9.3386,-10.0,6.187600000000001,-6.6968000000000005,8.544,0.9796791085410674
8,-10.0,-10.0,-9.944,4.363,8.4634,15.609000000000002,0.9927954257210978
9,-10.0,-10.0,-10.0,10.0,9.187800000000001,2.1942000000000004,0.995876591734245
10,-10.0,-6.828,-10.0,4.1514,-2.6616,5.802300000000001,0.9756930540110614
11,-10.0,-4.9086,-10.0,10.0,8.663,8.6178,0.980574752723139
12,10.0,10.0,10.0,-0.7682,5.7132000000000005,6.758400000000001,0.9756560779563831
13,-10.0,-10.0,-10.0,10.0,10.0,6.6648000000000005,0.9951287653908379
14,10.0,10.0,10.0,-4.5934,6.861800000000001,2.3322000000000003,0.9811093315096031
15,-10.0,-10.0,-10.0,4.6398,-4.9598,6.789000000000001,0.9766804555744151
16,10.0,10.0,10.0,-10.0,10.0,2.1513,0.9889335285731402
17,-10.0,-10.0,-10.0,8.1226,3.0576000000000003,6.7602,0.9856133186774713
18,10.0,10.0,10.0,-9.146,8.9372,2.2395,0.9930738482257049
19,-10.0,-10.0,-10.0,5.949400000000001,5.4466,15.491700000000002,0.9757661678460893
20,10.0,10.0,10.0,-10.0,-10.0,15.4746,0.9808408418637609
21,10.0,10.0,10.0,-10.0,-10.0,2.2710000000000004,0.9943150029224306
22,-10.0,-10.0,-10.0,1.349,8.5722,2.2725000000000004,0.9872607539578359
23,-10.0,-10.0,-10.0,10.0,7.2182,11.038200000000002,0.986673328346233
24,10.0,10.0,10.0,-2.9010000000000002,4.155,2.1639000000000004,0.9881165470471314
25,10.0,10.0,10.0,-3.6442,3.426,6.729900000000001,0.9858184616267436
26,10.0,7.338,10.0,-10.0,-7.5856,4.8243,0.9823043873282233
27,-10.0,-10.0,-10.0,2.7602,4.6638,11.0784,0.9789702498068296
28,-10.0,-10.0,-10.0,10.0,-0.1468,15.511800000000001,0.9854085743778557
29,10.0,10.0,10.0,-10.0,2.4648000000000003,6.6351,0.9940221775691133
30,10.0,10.0,10.0,-10.0,8.0204,2.1003000000000003,0.9803882575376835
31,-10.0,-10.0,-10.0,3.8314000000000004,-1.3084,6.737100000000001,0.9853038537776102
32,8.8338,8.2124,8.8184,-5.5704,-9.896600000000001,19.6413,0.9761707568714199
33,-10.0,-10.0,-10.0,10.0,-10.0,2.0883000000000003,0.9764554985144811
34,10.0,10.0,10.0,-3.2762000000000002,7.691800000000001,11.175300000000002,0.9754709497662277
35,-10.0,-10.0,-10.0,10.0,2.2338,11.1462,0.9908852991887194
36,-9.4396,-9.6,-9.3986,8.7504,0.6014,2.1759000000000004,0.9877478012785387
37,-10.0,-10.0,-10.0,10.0,10.0,6.675000000000001,0.9950767739603412
38,9.4572,-7.136,9.392000000000001,-7.276400000000001,0.8896000000000001,26.546400000000002,0.9940670682887263
39,-10.0,-10.0,-10.0,10.0,7.194,11.089200000000002,0.991540697615788
40,10.0,10.0,10.0,-10.0,-0.42400000000000004,2.2932,0.9916622115059832
41,-10.0,-10.0,-10.0,10.0,10.0,6.686100000000001,0.9947850544323409
42,10.0,5.1982,10.0,-9.5394,-1.016,7.895100000000001,0.9780820017800211
43,10.0,10.0,10.0,-10.0,-10.0,11.131200000000002,0.9917151128278386
44,-10.0,-10.0,-10.0,2.4176,4.025,6.597900000000001,0.9820477438251229
45,-10.0,-10.0,-10.0,9.996400000000001,10.0,15.5637,0.9874460979941554
46,10.0,10.0,10.0,-10.0,10.0,2.1585,0.9898670237249988
47,10.0,10.0,10.0,-10.0,4.4528,6.5826,0.987851666933019
48,-10.0,-10.0,-10.0,10.0,-10.0,2.2443000000000004,0.9931005707048594
49,-10.0,-10.0,-10.0,4.6702,-6.5572,2.2437,0.9926404246065645
50,10.0,10.0,10.0,-7.472,10.0,2.2536,0.9906327737725069
51,-4.385800000000001,-8.127600000000001,-4.2434,2.5292000000000003,-10.0,6.735,0.9787936191685804
52,10.0,10.0,10.0,-0.0218,-10.0,2.3226,0.9775005642281459
53,10.0,10.0,10.0,-9.3446,-10.0,6.575400000000001,0.98642540764975
54,9.5708,9.5504,9.350800000000001,-2.8356000000000003,-9.1668,2.2605000000000004,0.9864521104905182
55,7.920400000000001,7.820600000000001,7.751,-3.7296,10.0,6.621300000000001,0.9778332297521215
56,9.4634,9.466000000000001,9.539,-9.9466,6.1930000000000005,2.265,0.9897232668345681
57,10.0,10.0,10.0,-2.325,-10.0,2.3325,0.9797146529500584
58,-10.0,-10.0,-10.0,10.0,0.554,2.1201000000000003,0.9862520056204451
59,10.0,10.0,10.0,-10.0,7.130400000000001,6.5772,0.9862196159697514
60,-10.0,-10.0,-10.0,5.484,-7.8116,6.628800000000001,0.987736985706168
61,10.0,10.0,10.0,-10.0,10.0,2.2434000000000003,0.9931424902564365
62,10.0,10.0,10.0,-8.0264,6.5002,6.801000000000001,0.9762768145929055
63,-10.0,-10.0,-9.9412,10.0,10.0,19.980600000000003,0.9963424588495705
64,10.0,10.0,10.0,-10.0,-10.0,2.2752000000000003,0.9938912312153868
65,-10.0,-10.0,-10.0,10.0,10.0,2.2128,0.9965798720917534
66,-10.0,-10.0,-10.0,10.0,-10.0,2.169,0.9910454904480078
67,10.0,10.0,10.0,-10.0,-10.0,11.134200000000002,0.9915921498651274
68,-2.318,-4.2476,-2.1364,7.3722,10.0,12.827700000000002,0.9803778009733601
69,10.0,10.0,10.0,-10.0,-10.0,2.3295000000000003,0.9852914042186551
70,10.0,10.0,10.0,-10.0,-10.0,15.5667,0.9874019800781083
71,-9.625,-9.7718,-9.5258,8.363800000000001,6.4916,2.2686,0.9852785989594722
72,-10.0,-10.0,-10.0,10.0,10.0,6.606000000000001,0.9914031786996856
73,-10.0,-10.0,-10.0,-0.8278000000000001,10.0,6.689100000000001,0.9769261971042561
74,10.0,10.0,10.0,-10.0,3.4746,11.026200000000001,0.9846401675150357
75,-10.0,-10.0,-10.0,10.0,2.4942,20.0148,0.9812055690307315
76,10.0,10.0,10.0,-10.0,-0.1956,2.0919000000000003,0.9797919199205425
77,10.0,10.0,10.0,-7.8764,-10.0,6.607200000000001,0.9902748838937345
78,9.789200000000001,10.0,10.0,-10.0,-10.0,2.2677,0.9757341581853834
79,10.0,10.0,10.0,-10.0,-10.0,2.2116000000000002,0.9965555756924773
80,-10.0,-5.7804,-10.0,10.0,5.2,7.4148000000000005,0.9850376196519482
81,-10.0,-10.0,-10.0,10.0,9.1454,6.574800000000001,0.986678025087149
82,-10.0,-10.0,-10.0,5.208,-7.8504000000000005,2.2398000000000002,0.991318394836574
83,10.0,10.0,10.0,-2.4392,0.1188,6.573,0.9777575621180405
84,-10.0,-10.0,-10.0,10.0,0.737,11.016300000000001,0.982976658398224
85,-10.0,-10.0,-10.0,10.0,2.5620000000000003,6.573600000000001,0.9864145279976421
86,10.0,10.0,10.0,-10.0,-6.966600000000001,11.174700000000001,0.9881825706018523
87,-10.0,-10.0,-10.0,10.0,10.0,2.2065,0.9964202910948284
88,10.0,10.0,10.0,-8.9518,0.49820000000000003,6.681000000000001,0.9943539492743851
89,10.0,10.0,10.0,-10.0,-10.0,2.3658,0.9763583877792618
90,-10.0,-10.0,-9.8368,3.2644,2.0694,6.642600000000001,0.9861490314544101
91,10.0,10.0,10.0,-8.1856,-10.0,6.591,0.9882803819107415
92,10.0,10.0,10.0,-10.0,-10.0,6.6432,0.994556173255499
93,10.0,10.0,10.0,-10.0,10.0,2.2119000000000004,0.9935956778930392
94,-10.0,-10.0,-10.0,10.0,10.0,15.516900000000001,0.9859187183507557
