,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Bias_7,Time,Fidelity
0,-10.0,-10.0,-10.0,-10.0,-1.4136,10.0,-10.0,2.7444,0.9509171760880525
1,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,2.6223,0.9335448527180336
2,-8.936200000000001,-6.9526,-7.54,-8.6752,-0.15940000000000001,2.0446,-9.5074,24.3045,0.9258039502625555
3,10.0,10.0,10.0,10.0,-10.0,10.0,9.2222,2.7954000000000003,0.9669025284833874
4,2.8624,5.703200000000001,4.7888,3.2282,6.111400000000001,-1.2026000000000001,-6.0892,10.634400000000001,0.8789882414743132
5,8.1578,8.825800000000001,8.9396,8.448,-5.634,0.9936,7.348800000000001,12.492300000000002,0.8837919773001819
6,10.0,10.0,10.0,10.0,-5.0932,1.8236,-10.0,22.512600000000003,0.9132516360970998
7,-10.0,-10.0,-10.0,-10.0,1.7156,-3.1916,-1.9626000000000001,22.415100000000002,0.8874080147119641
8,10.0,10.0,10.0,10.0,-9.8542,-7.9272,5.3588000000000005,22.5711,0.9193145665943634
9,10.0,10.0,10.0,10.0,-1.0758,-1.1042,9.0534,2.7942000000000005,0.9619235175562216
10,-10.0,-10.0,-10.0,-10.0,10.0,5.735,10.0,2.8293000000000004,0.9692676069277227
11,10.0,10.0,10.0,10.0,2.1272,-10.0,-10.0,2.7597,0.9494011213992957
12,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,2.6448,0.9434266210664781
13,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,2.5515000000000003,0.9053128950847151
14,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,27.8499,0.9084854992496215
15,-10.0,-10.0,-10.0,-10.0,2.8836,-10.0,-10.0,2.6997000000000004,0.9479025738160696
16,10.0,10.0,10.0,10.0,-10.0,-2.4804,0.62,27.920400000000004,0.9370628869049815
17,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,3.084,0.8954764253180727
18,-10.0,-10.0,-10.0,-10.0,-3.3446000000000002,-10.0,-10.0,2.5890000000000004,0.8822825906899447
19,-2.6042,-3.9884000000000004,-3.9916,-2.6022000000000003,5.612,2.2458,-3.1272,6.268800000000001,0.9495695854096835
20,-10.0,-10.0,-10.0,-10.0,10.0,10.0,1.3726,3.0210000000000004,0.9271399045104367
21,10.0,10.0,10.0,10.0,-4.0908,-10.0,10.0,2.9970000000000003,0.9334809315388503
22,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,28.197900000000004,0.962712337114018
23,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,22.5954,0.9012834285128232
24,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,22.701300000000003,0.8858499619740363
25,-10.0,-10.0,-10.0,-10.0,9.536,3.4272,-10.0,2.6157000000000004,0.9334730866129531
26,10.0,10.0,10.0,10.0,-5.402200000000001,0.163,-0.1882,22.5438,0.9126255246174164
27,-10.0,-10.0,-10.0,-10.0,9.587200000000001,-10.0,-10.0,28.308600000000002,0.9325298596634892
28,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,2.9331000000000005,0.9523388426481334
29,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,2.9070000000000005,0.9606452766329348
30,-10.0,-10.0,-10.0,-10.0,4.4404,10.0,10.0,3.0342000000000002,0.9193918068656115
31,10.0,10.0,10.0,10.0,-1.5712000000000002,4.014,-0.6454000000000001,22.555500000000002,0.8919537163589712
32,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-9.6258,22.4628,0.9250757499678726
33,-5.043200000000001,-2.166,-0.7376,-5.078600000000001,4.9402,5.7208000000000006,4.6928,23.916000000000004,0.9003854059754208
34,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,28.172700000000003,0.9648229842146223
35,10.0,10.0,10.0,10.0,-10.0,10.0,5.312600000000001,3.0810000000000004,0.8961053583606879
36,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,2.769,0.9679003417251876
37,-10.0,-8.3428,-8.2342,-10.0,10.0,-0.42000000000000004,4.646,8.9556,0.9446730921930303
38,-10.0,-10.0,-10.0,-10.0,0.4324,10.0,10.0,2.7672000000000003,0.9591304227998471
39,10.0,10.0,10.0,10.0,-4.7178,10.0,9.167200000000001,2.7507,0.9591164633527527
40,10.0,10.0,10.0,10.0,0.48360000000000003,9.0596,-10.0,2.5884,0.9017742083659532
41,10.0,10.0,9.934800000000001,10.0,-10.0,8.501800000000001,-1.4944000000000002,2.6364,0.9368307479618008
42,10.0,10.0,10.0,10.0,-10.0,-8.643600000000001,10.0,2.5176000000000003,0.890476111867628
43,-10.0,-10.0,-10.0,-10.0,0.8404,-10.0,10.0,22.615800000000004,0.8884963944736974
44,-10.0,-10.0,-10.0,-10.0,5.5366,-5.3312,10.0,2.8554000000000004,0.9653654504014172
45,-10.0,-10.0,-10.0,-10.0,10.0,-2.2152000000000003,10.0,2.5029000000000003,0.8826743146981161
46,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,3.5592,2.9955000000000003,0.9328259919566249
47,-10.0,-10.0,-10.0,-10.0,10.0,-3.9354,4.6862,22.6686,0.8967734559957837
48,10.0,10.0,10.0,10.0,-6.2218,-10.0,10.0,3.1026000000000002,0.887586889434809
49,-10.0,-10.0,-10.0,-10.0,4.5408,5.4804,-1.675,3.0015000000000005,0.9322058811380843
50,10.0,10.0,10.0,10.0,-1.341,-1.597,-2.8224,28.244400000000002,0.9133434385581519
51,-10.0,-10.0,-10.0,-10.0,-1.598,-10.0,2.0084,2.9982,0.9035923461965025
52,10.0,10.0,0.47000000000000003,10.0,10.0,-10.0,-9.107000000000001,29.999700000000004,0.9210089603536177
53,10.0,10.0,10.0,10.0,-5.8314,10.0,-0.12100000000000001,2.8494,0.9611165370439176
54,10.0,10.0,0.4006,10.0,10.0,-9.9688,-5.843,29.999700000000004,0.9201145566747663
55,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,4.7876,2.6748000000000003,0.9492733329502997
56,-10.0,-10.0,-10.0,-10.0,-1.1132,10.0,-10.0,2.5563000000000002,0.895740320189433
57,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,2.5053,0.8823477824338423
58,10.0,10.0,10.0,10.0,-6.2490000000000006,-0.776,-10.0,22.4277,0.9134057179344414
59,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,2.7096000000000005,0.9597617247236246
60,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,28.136400000000002,0.9673684838876685
61,10.0,10.0,10.0,10.0,-9.7576,-10.0,-10.0,2.5242000000000004,0.8937765330418581
62,-10.0,-10.0,-10.0,-10.0,8.354800000000001,10.0,-10.0,2.7171000000000003,0.9605327031095092
