,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Time,Fidelity
0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.7836000000000003,0.8906892968859023
1,10.0,10.0,10.0,10.0,10.0,10.0,4.017600000000001,0.9067168313331546
2,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.7119000000000004,0.8683315617377665
3,10.0,10.0,10.0,10.0,10.0,10.0,3.4428000000000005,0.7279923089697552
4,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.3381000000000003,0.6568636807810904
5,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.4113,0.7072430979055644
6,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,19.035600000000002,0.6626498018838548
7,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.959900000000001,0.5819546469898684
8,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.8112000000000004,0.8972421439916812
9,9.780000000000001,4.3036,8.860800000000001,8.965,2.6954000000000002,9.8228,15.896400000000002,0.6614509839205727
10,-10.0,-10.0,-10.0,-10.0,-9.627600000000001,-10.0,4.1946,0.82114710998926
11,10.0,10.0,10.0,10.0,10.0,10.0,4.3584000000000005,0.7677420767588582
12,10.0,10.0,10.0,9.9094,10.0,10.0,4.4271,0.7174832970266983
13,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.155900000000001,0.8724912351905554
14,9.3986,9.727400000000001,9.5584,9.4402,9.998000000000001,9.015,3.6423000000000005,0.6565781745522246
15,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,11.1384,0.5844828816152662
16,10.0,10.0,10.0,10.0,10.0,9.885,4.537800000000001,0.6272089565908218
17,10.0,10.0,10.0,10.0,10.0,10.0,17.9949,0.6069778857936968
18,4.7338000000000005,10.0,5.3708,5.2704,10.0,4.7602,25.318800000000003,0.6461414454404405
19,-10.0,-10.0,-10.0,-10.0,-9.3192,-10.0,4.0842,0.7811617572804679
20,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.3384000000000005,0.6570752396521782
21,10.0,10.0,10.0,10.0,10.0,10.0,26.256000000000004,0.6051876516549433
22,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.4175,0.7268619847334132
23,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.6573,0.8464810866629642
24,10.0,10.0,9.7064,10.0,10.0,10.0,4.226100000000001,0.8170586127500507
25,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.2102,0.8503922173270705
26,-3.3202000000000003,-10.0,-3.3714,-4.683,-1.2904,-2.7162,22.824600000000004,0.6906057005248812
27,10.0,10.0,10.0,10.0,10.0,10.0,4.498500000000001,0.6650251183213368
28,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.0788,0.8955727960949756
29,10.0,10.0,10.0,10.0,10.0,10.0,3.5307000000000004,0.781970461002126
30,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,11.2437,0.5790278819409185
31,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.148600000000002,0.5758897332618274
32,10.0,10.0,10.0,10.0,10.0,10.0,4.2102,0.8503922173270705
33,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.3177000000000003,0.6423980849295892
34,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.602200000000003,0.6121793980289543
35,10.0,10.0,10.0,10.0,10.0,10.0,26.715300000000003,0.5813263805799713
36,10.0,10.0,10.0,10.0,10.0,10.0,4.4706,0.6869950824554362
37,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.4902,0.7578889551502901
38,10.0,10.0,10.0,10.0,10.0,10.0,3.8862000000000005,0.9089284102182013
39,10.0,10.0,10.0,10.0,10.0,10.0,26.696700000000003,0.5875210760451595
40,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.896400000000003,0.7447137073977415
41,-5.4034,-0.5716,-4.2,-3.8484000000000003,-3.0352,-5.1426,20.808000000000003,0.5865810010703895
42,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.8682,0.7587070517176343
43,10.0,10.0,10.0,10.0,10.0,10.0,10.9602,0.5819716002474269
44,5.8504000000000005,5.9866,6.5332,7.049600000000001,6.2228,5.9344,4.269,0.6166743684886045
45,10.0,10.0,10.0,10.0,10.0,10.0,3.3849000000000005,0.6893879939344265
46,-9.5332,-0.7042,-7.5114,-9.1226,3.926,-9.5534,29.889000000000003,0.6336399744046638
47,10.0,10.0,10.0,10.0,10.0,10.0,10.986600000000001,0.583294364226971
48,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.2832000000000003,0.6176257229733448
49,10.0,10.0,10.0,10.0,10.0,10.0,18.597900000000003,0.8352345811489541
50,10.0,10.0,10.0,10.0,10.0,10.0,4.605300000000001,0.5759518647126431
51,10.0,10.0,10.0,10.0,10.0,10.0,26.265600000000003,0.6072731608568789
52,10.0,10.0,10.0,10.0,10.0,10.0,18.069300000000002,0.6583261078433955
53,10.0,10.0,10.0,10.0,10.0,10.0,18.0576,0.6505144958779153
54,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.385400000000001,0.7495594733075831
55,4.938000000000001,-0.10700000000000001,5.2542,5.832800000000001,1.4376,4.7958,24.2844,0.5929490363619923
56,6.990200000000001,8.4458,6.824000000000001,6.579000000000001,9.6088,6.7054,11.499,0.6947914374436712
57,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.580000000000002,0.6162867185008561
58,10.0,10.0,10.0,10.0,10.0,10.0,3.3681,0.6778305700724773
59,10.0,10.0,10.0,9.5738,10.0,10.0,3.5127,0.7373823510252985
60,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.805500000000002,0.7861085287097438
61,-4.8588000000000005,-10.0,-3.5168000000000004,-3.8368,6.049,-4.558800000000001,20.0055,0.7099777065721051
62,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.377200000000002,0.6242092599860476
63,10.0,10.0,10.0,10.0,10.0,10.0,4.0215000000000005,0.9061987169577344
64,10.0,10.0,10.0,10.0,10.0,10.0,26.494500000000002,0.6260625056554578
65,10.0,10.0,10.0,10.0,10.0,10.0,26.669700000000002,0.5957386232769434
66,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.2748000000000004,0.611545980931864
67,3.9982,4.6562,1.7384000000000002,6.493200000000001,5.235,4.0676000000000005,29.999700000000004,0.6605021084158931
68,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.5145000000000004,0.7725128612309919
69,10.0,10.0,9.542200000000001,10.0,10.0,10.0,3.9618,0.8528989072142216
70,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.930000000000003,0.7267884848225494
71,10.0,10.0,10.0,10.0,9.8696,10.0,3.8982000000000006,0.9054685056808127
72,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.044300000000001,0.9026456377200123
73,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.4824,0.7530891898883483
74,5.2414000000000005,2.1806,6.0656,5.478800000000001,1.5672000000000001,5.1988,16.7592,0.7632091383469439
75,10.0,10.0,10.0,10.0,10.0,10.0,26.230200000000004,0.5991262540731103
76,10.0,10.0,10.0,10.0,10.0,10.0,4.3131,0.7962235121659071
77,10.0,5.2662,10.0,10.0,4.546600000000001,10.0,29.999700000000004,0.6510635394476585
78,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.431200000000004,0.6271991873354101
79,-2.2082,-10.0,-2.9416,-3.1380000000000003,6.059,-1.979,26.245500000000003,0.7753337274745534
