,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Time,Fidelity
0,10.0,10.0,10.0,10.0,10.0,3.5967000000000002,0.9003510474419264
1,10.0,10.0,10.0,10.0,10.0,21.897000000000002,0.9870169374609331
2,10.0,10.0,10.0,10.0,10.0,22.2006,0.8910619287425873
3,10.0,10.0,10.0,10.0,10.0,3.4398000000000004,0.939334560294937
4,10.0,10.0,6.518000000000001,10.0,10.0,12.8412,0.9254717514126183
5,-10.0,-10.0,-7.1578,-10.0,-10.0,9.8292,0.896003353853843
6,-5.87,5.3876,-5.8066,3.5766,-5.8396,23.9418,0.8800016764703492
7,-10.0,-10.0,-4.2170000000000005,-10.0,-10.0,18.999000000000002,0.9824209561879262
8,10.0,10.0,10.0,10.0,10.0,3.0981,0.87275238367307
9,10.0,10.0,7.259200000000001,10.0,10.0,9.549000000000001,0.9469451284720178
10,10.0,10.0,10.0,10.0,10.0,3.5439000000000003,0.9183996584489784
11,-10.0,-10.0,0.1014,-10.0,-10.0,28.0818,0.9016757334157754
12,10.0,10.0,10.0,10.0,10.0,22.2024,0.8900351673280165
13,10.0,10.0,10.0,10.0,10.0,22.172400000000003,0.9065324651592708
14,-10.0,-10.0,-1.7876,-10.0,-10.0,25.227300000000003,0.9887238557321962
15,10.0,10.0,10.0,10.0,10.0,21.5697,0.8963296588351832
16,-10.0,-10.0,-10.0,-10.0,-10.0,22.018500000000003,0.968406533548389
17,10.0,10.0,2.5944000000000003,10.0,10.0,18.8256,0.8903554146473812
18,10.0,10.0,10.0,10.0,10.0,3.5607,0.9131879377737029
19,10.0,10.0,10.0,10.0,10.0,3.1998,0.9128955402857255
20,-10.0,-10.0,-10.0,-10.0,-10.0,21.823200000000003,0.9843336584041934
21,10.0,10.0,10.0,10.0,10.0,3.4155,0.9413658761930114
22,-10.0,-10.0,-5.0552,-10.0,-10.0,15.931200000000002,0.9685608679796789
23,-10.0,-10.0,-4.615600000000001,-10.0,-10.0,15.693600000000002,0.9477794727548704
24,10.0,10.0,10.0,10.0,10.0,21.568500000000004,0.8956454605823355
25,7.2556,0.6206,7.072,0.6512,7.223400000000001,17.1945,0.8952029913888243
26,10.0,10.0,10.0,10.0,10.0,3.4626,0.9364415134847413
27,-10.0,-10.0,-10.0,-10.0,-10.0,21.594900000000003,0.9101667956481823
28,10.0,10.0,10.0,10.0,10.0,21.5391,0.8781864161136679
29,10.0,10.0,3.5442,10.0,10.0,22.4067,0.8920023720607818
30,10.0,10.0,4.7706,10.0,10.0,15.836100000000002,0.9742815537888446
31,-10.0,-10.0,-10.0,-10.0,-10.0,21.9783,0.9776759205387601
32,-10.0,-10.0,-10.0,-10.0,-10.0,21.765600000000003,0.974831952114501
33,-10.0,-10.0,-5.942,-10.0,-10.0,12.609000000000002,0.9510322494003716
34,10.0,10.0,10.0,10.0,10.0,21.955800000000004,0.981534892986161
35,10.0,10.0,3.4622,10.0,10.0,18.7284,0.9225590962115506
36,-10.0,-10.0,-10.0,-10.0,-9.8352,3.6336000000000004,0.8726103009977686
37,-10.0,-10.0,0.011000000000000001,-10.0,-10.0,28.3608,0.9679037520677445
38,10.0,10.0,10.0,10.0,10.0,21.8868,0.9872826128347043
39,10.0,10.0,10.0,10.0,10.0,3.1689000000000003,0.9023513731426417
40,-7.469200000000001,2.1842,-7.323600000000001,0.32220000000000004,-7.4302,21.145200000000003,0.8928231464125683
41,-10.0,-10.0,-10.0,-10.0,-10.0,21.776400000000002,0.9771041802193945
42,10.0,10.0,5.065,10.0,10.0,15.628200000000001,0.9345243915926958
43,-10.0,-10.0,-10.0,-10.0,-10.0,3.237,0.9235537293030172
44,10.0,10.0,10.0,10.0,10.0,22.058400000000002,0.9562711196763469
45,10.0,10.0,10.0,10.0,10.0,3.5727,0.9091601255836537
46,-10.0,-10.0,-10.0,-10.0,-10.0,3.2616000000000005,0.9293378240186642
47,-10.0,-10.0,-5.1574,-10.0,-10.0,16.107000000000003,0.9130207870842476
48,10.0,10.0,10.0,10.0,10.0,21.832800000000002,0.9852876704409743
49,10.0,10.0,3.2426000000000004,10.0,10.0,21.869400000000002,0.9337419006111836
50,-10.0,-10.0,-5.578,-10.0,-10.0,15.763200000000001,0.9358793454194672
51,10.0,10.0,3.9748,10.0,10.0,15.844800000000001,0.9100118403179935
52,-10.0,-10.0,-10.0,-10.0,-10.0,22.0668,0.9533534348413918
53,-10.0,-10.0,-10.0,-10.0,-10.0,21.575400000000002,0.8995485332724332
54,10.0,10.0,10.0,10.0,10.0,3.4959000000000002,0.930503594875487
55,10.0,10.0,4.6824,10.0,10.0,15.807000000000002,0.9678832360331941
56,10.0,10.0,10.0,10.0,10.0,22.212000000000003,0.8844815475617231
57,10.0,10.0,10.0,10.0,10.0,3.4449000000000005,0.9387703780629901
58,10.0,10.0,9.9578,10.0,10.0,22.152,0.8949623911531226
59,-10.0,-10.0,-10.0,-10.0,-10.0,3.2496000000000005,0.9266441138329479
60,-10.0,-10.0,-3.6430000000000002,-10.0,-10.0,19.0011,0.9735877257507439
61,10.0,10.0,10.0,10.0,10.0,3.5724000000000005,0.9092639003403999
62,10.0,10.0,10.0,10.0,10.0,21.761400000000002,0.9738876221811683
63,10.0,10.0,10.0,10.0,10.0,3.1785,0.90578766327255
64,-10.0,-10.0,-1.2202,-10.0,-10.0,21.960900000000002,0.8838189471115036
65,10.0,10.0,10.0,10.0,10.0,22.1187,0.9326277363269446
66,-10.0,-10.0,-10.0,-10.0,-10.0,21.8076,0.9823984117144533
67,-10.0,-10.0,-10.0,-10.0,-10.0,21.795900000000003,0.9806349729157492
68,-10.0,-10.0,-10.0,-10.0,-10.0,21.6231,0.9244155470229587
69,-10.0,-10.0,-10.0,-10.0,-10.0,3.1875000000000004,0.9088785430849344
70,-10.0,-10.0,-10.0,-10.0,-10.0,21.896700000000003,0.9870276585010076
71,10.0,10.0,4.981,10.0,10.0,15.879600000000002,0.9751092040602679
72,10.0,10.0,10.0,10.0,10.0,21.7707,0.9759329893405634
73,3.4372000000000003,-1.8644,3.1952000000000003,10.0,3.7918000000000003,29.999700000000004,0.897752595015628
74,10.0,10.0,10.0,10.0,10.0,3.5427000000000004,0.918752731212247
75,10.0,10.0,10.0,10.0,10.0,21.6672,0.9439648850870404
76,10.0,10.0,10.0,10.0,10.0,21.957,0.9813534662232686
77,-10.0,-10.0,-10.0,-10.0,-10.0,22.229400000000002,0.8740892485665366
78,10.0,10.0,8.118400000000001,10.0,10.0,6.2556,0.8730099414281823
79,10.0,10.0,10.0,10.0,10.0,21.724200000000003,0.964053008459069
80,-10.0,-10.0,-10.0,-10.0,-10.0,22.185000000000002,0.8997646732962055
81,10.0,10.0,2.4572000000000003,10.0,10.0,21.9276,0.9532160906240383
82,-10.0,-10.0,-10.0,-10.0,-10.0,3.2679000000000005,0.9306536656421981
83,-10.0,-10.0,-10.0,-10.0,-10.0,3.3264000000000005,0.939572369376186
84,10.0,10.0,1.304,10.0,10.0,28.382400000000004,0.9893809625896695
85,-10.0,-10.0,-10.0,-10.0,-10.0,3.4155,0.9413658761930114
86,-10.0,-10.0,-10.0,-10.0,-10.0,3.4185000000000003,0.9411738378145156
87,10.0,10.0,3.0196,10.0,10.0,22.198200000000003,0.9774723956059832
88,-10.0,-10.0,-1.7438,-10.0,-10.0,22.2462,0.9046027186583825
89,10.0,10.0,10.0,10.0,10.0,3.5178000000000003,0.9254969024818369
90,-10.0,-10.0,-10.0,-10.0,-10.0,22.128300000000003,0.9282996874074763
91,-10.0,-10.0,-10.0,-10.0,-10.0,22.074600000000004,0.9505333093335997
92,10.0,10.0,10.0,9.9834,10.0,22.0314,0.9628392380390788
93,-10.0,-10.0,-10.0,-10.0,-10.0,21.826500000000003,0.9846819808308981
94,10.0,10.0,10.0,10.0,10.0,22.204500000000003,0.8888314453344636
95,10.0,10.0,5.13,10.0,10.0,15.916800000000002,0.9714004655313596
96,10.0,10.0,10.0,10.0,10.0,22.233,0.8718877411419946
97,10.0,10.0,10.0,10.0,10.0,21.576600000000003,0.9002196216778375
98,10.0,10.0,5.970400000000001,10.0,10.0,12.6828,0.9612062633458507
99,-10.0,-10.0,-4.3568,-10.0,-10.0,16.0104,0.9128641361321704
