,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Time,Fidelity
0,10.0,10.0,10.0,10.0,10.0,10.0,18.352500000000003,0.8030835568332261
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.3942,0.8153682362005548
2,-6.744000000000001,-9.6006,-8.5424,-7.953200000000001,-9.8172,-6.8174,25.264200000000002,0.7567196948300079
3,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.2471000000000005,0.83274922256436
4,10.0,10.0,10.0,10.0,10.0,10.0,3.3195,0.6436804763661191
5,9.0196,10.0,10.0,10.0,10.0,9.4192,22.449,0.6990417783763929
6,10.0,10.0,10.0,10.0,10.0,10.0,18.1854,0.7290813961492139
7,-10.0,-10.0,-8.602,-7.6378,-10.0,-10.0,23.1354,0.678536657527944
8,-5.3758,5.782,-6.019,-7.1094,-0.1558,-5.3874,21.8562,0.6240024718833374
9,-3.9318000000000004,4.1234,-3.8216,-3.011,-1.4398,-3.6952000000000003,29.999700000000004,0.6460293117849474
10,10.0,10.0,10.0,10.0,10.0,10.0,18.564600000000002,0.836667171129307
11,10.0,10.0,10.0,8.8606,10.0,10.0,24.286800000000003,0.6229298431204825
12,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.586000000000002,0.6152404660817868
13,-9.9436,-6.5494,-9.7912,-8.92,-6.69,-9.824,19.0899,0.8197442281889201
14,-3.9752,-9.4244,-4.4456,-6.3116,-6.4206,-4.3946000000000005,14.88,0.6258051075232227
15,10.0,10.0,10.0,10.0,10.0,10.0,3.5607,0.7988234046971876
16,-9.3374,-6.4768,-7.3086,-9.8728,-8.375,-9.286200000000001,25.587300000000003,0.6576895338748934
17,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,4.135800000000001,0.8794632571853771
18,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,26.523600000000002,0.6238093170103862
19,10.0,10.0,10.0,10.0,10.0,10.0,3.5892000000000004,0.8139821682287034
20,10.0,10.0,10.0,10.0,10.0,10.0,18.4902,0.8332157936084805
21,-1.2506000000000002,3.8560000000000003,1.2156,-0.9432,10.0,-1.411,24.011400000000002,0.6666880922002159
22,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.3057000000000003,0.6338215466136999
23,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.7491000000000003,0.8808690302433346
24,10.0,10.0,10.0,10.0,10.0,10.0,3.4521,0.733990607785392
25,10.0,10.0,10.0,10.0,10.0,10.0,26.308200000000003,0.6153663035556507
26,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.526200000000003,0.836032406272298
27,2.8926000000000003,5.4004,3.2960000000000003,2.8482000000000003,8.2582,2.7136,25.464900000000004,0.6942448425632921
28,-9.044,-7.034400000000001,-9.9466,-8.354800000000001,-5.2142,-9.0534,29.762700000000002,0.6242360937688916
29,10.0,10.0,10.0,10.0,10.0,10.0,18.787200000000002,0.7930836647595798
30,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.7782000000000004,0.8892702346492468
31,-10.0,-10.0,-10.0,-9.1206,-10.0,-10.0,4.0635,0.7034837670574245
32,10.0,10.0,10.0,10.0,10.0,10.0,3.5340000000000003,0.7838670986925496
33,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,3.4053000000000004,0.7032201889443648
34,10.0,10.0,10.0,10.0,10.0,10.0,3.9024000000000005,0.9102404528588269
35,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.8778,0.7540547967106064
36,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,18.5256,0.8360030502339274
