,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Time,Fidelity
0,10.0,10.0,10.0,10.0,10.0,3.0276,0.8364368365101076
1,-10.0,-7.3292,-10.0,-7.2136000000000005,-10.0,7.0437,0.827326205012873
2,-10.0,-10.0,-10.0,-10.0,-10.0,3.3342000000000005,0.9403039465470745
3,-10.0,-10.0,-10.0,-10.0,-10.0,3.7239000000000004,0.8377463719194456
4,5.526000000000001,9.388,5.0722000000000005,-0.066,5.2068,17.709600000000002,0.7742198187359788
5,-10.0,-10.0,-10.0,-10.0,-10.0,21.8118,0.9829662670428987
6,-10.0,-10.0,-7.760400000000001,-10.0,-10.0,9.543600000000001,0.801432817772123
7,-6.5358,-5.5312,-3.8836000000000004,-5.5022,-6.5158000000000005,13.875000000000002,0.8196105061993896
8,10.0,10.0,10.0,10.0,10.0,3.4920000000000004,0.9313037763595575
9,-10.0,-10.0,-6.6188,-10.0,-10.0,9.4044,0.8899495868524155
10,10.0,10.0,10.0,10.0,10.0,3.6795000000000004,0.8625178171487276
11,10.0,10.0,6.1014,10.0,10.0,12.730200000000002,0.9636586504886216
12,10.0,0.7802,9.8792,1.9116000000000002,10.0,21.788100000000004,0.8998773095456055
13,-10.0,-10.0,-3.519,-10.0,-10.0,18.855300000000003,0.9623035634727706
14,10.0,10.0,10.0,10.0,10.0,28.5969,0.8672709777165031
15,10.0,10.0,10.0,10.0,10.0,3.8055000000000003,0.784899363974337
16,-10.0,-10.0,-10.0,-10.0,-10.0,3.6534000000000004,0.8756542448935456
17,-10.0,-10.0,-10.0,-10.0,-10.0,3.7515000000000005,0.8208855983504443
18,-10.0,-10.0,-10.0,-10.0,-10.0,3.0378000000000003,0.8420784613591403
19,5.8894,-0.057600000000000005,5.7366,0.2432,5.9546,13.163400000000001,0.898711640959715
20,6.2188,1.4948000000000001,6.784000000000001,2.7698,6.187200000000001,25.2222,0.8419420250795839
21,0.9704,8.054400000000001,0.5536,-6.352200000000001,0.7142000000000001,24.9078,0.8317468550057737
22,-10.0,-10.0,-10.0,-10.0,-10.0,22.199700000000004,0.8915735730075292
23,-10.0,-10.0,-10.0,-10.0,-10.0,3.3162000000000003,0.9384516484070794
24,-10.0,-10.0,-10.0,-10.0,-10.0,21.8046,0.9819717045908141
25,-10.0,-10.0,-10.0,-10.0,-10.0,21.708900000000003,0.9592497081966426
26,10.0,10.0,10.0,10.0,10.0,3.5007,0.9294807388671885
27,10.0,10.0,10.0,10.0,10.0,21.8379,0.985720958985773
28,-10.0,-10.0,-10.0,-10.0,-10.0,28.734,0.8611052582197601
29,-1.3006,5.8340000000000005,-1.4346,2.2236000000000002,-1.3096,20.730600000000003,0.8180463474609342
30,5.7858,6.0756000000000006,5.736000000000001,5.9204,6.3158,3.5313000000000003,0.8011184331780938
31,1.6784000000000001,8.067400000000001,1.7526000000000002,-3.1044,1.3754,21.9264,0.883151278582446
32,-10.0,-10.0,-10.0,-10.0,-10.0,28.914300000000004,0.8068189352405635
33,-10.0,-10.0,-10.0,-10.0,-9.795200000000001,21.854400000000002,0.8620485889128615
34,10.0,10.0,10.0,10.0,10.0,3.2331000000000003,0.9225432790794861
35,-10.0,-10.0,-2.7760000000000002,-10.0,-10.0,22.105200000000004,0.9850274942208493
36,10.0,7.117,10.0,7.046,10.0,6.7974000000000006,0.7815187052788706
37,10.0,10.0,2.9532000000000003,10.0,10.0,21.703200000000002,0.8478380846106693
38,-10.0,-10.0,-10.0,-10.0,-10.0,3.5763000000000003,0.9079025566532459
39,-10.0,-10.0,-3.8890000000000002,-10.0,-10.0,22.092000000000002,0.9396862713025047
40,10.0,10.0,10.0,10.0,10.0,3.813,0.7796071642725936
41,2.0142,9.7128,2.2274000000000003,9.967600000000001,2.0,18.2433,0.7880371927322596
42,-10.0,-10.0,-10.0,-10.0,-10.0,3.2898000000000005,0.9346949981001526
43,-7.3062000000000005,-9.6632,-7.214,-9.2118,-7.389200000000001,24.378300000000003,0.8550100726109553
44,10.0,10.0,10.0,10.0,10.0,3.8232000000000004,0.7723011951035906
45,-10.0,-10.0,-10.0,-10.0,-10.0,22.113000000000003,0.9351259912011627
46,-10.0,-10.0,-4.719,-10.0,-10.0,15.927900000000001,0.9609338154548898
47,10.0,10.0,10.0,10.0,10.0,28.897500000000004,0.8140220418640873
48,-10.0,-10.0,-10.0,-10.0,-10.0,3.6285000000000003,0.8871602697664329
49,-10.0,-10.0,-10.0,-10.0,-10.0,3.8235000000000006,0.7720844489099059
50,10.0,10.0,10.0,10.0,10.0,3.3195,0.9388345252409682
