,Bias_1,Bias_2,Bias_3,Bias_4,Time,Fidelity
0,-10.0,-10.0,-10.0,5.5486,10.98,0.9691931162484133
1,10.0,3.5860000000000003,10.0,-10.0,10.7619,0.9688627461044357
2,-10.0,-10.0,-10.0,5.0276000000000005,2.1267,0.9849188648230467
3,-10.0,-10.0,-10.0,5.3554,6.809400000000001,0.9725256929204453
4,0.1468,7.594600000000001,0.2394,9.9732,11.0394,0.9682103718576619
5,-10.0,-10.0,-10.0,10.0,11.059500000000002,0.9894006730510002
6,-10.0,-10.0,-10.0,8.9598,2.2497000000000003,0.995573842468993
7,-10.0,-10.0,-10.0,10.0,24.5025,0.970941560969918
8,1.122,1.2132,0.9962000000000001,-7.3768,2.2674000000000003,0.9812252442191103
9,10.0,10.0,10.0,-10.0,24.4278,0.9736531572851961
10,10.0,5.875,10.0,-5.4062,7.5318000000000005,0.9710521718953562
11,10.0,10.0,10.0,-3.311,6.513300000000001,0.9648611692090814
12,2.8552,-1.4862,2.7838000000000003,-6.433400000000001,7.3371,0.9739933480989084
13,-10.0,-10.0,-10.0,4.8188,6.643800000000001,0.9905687008559003
14,10.0,10.0,10.0,-10.0,15.669000000000002,0.9752027438493197
15,10.0,10.0,10.0,-9.0492,6.697800000000001,0.9937716398441324
16,10.0,10.0,10.0,-10.0,2.0793000000000004,0.9764788046670094
17,-10.0,-10.0,-10.0,8.4448,6.8256000000000006,0.9698021040561211
18,-9.0416,-9.1102,-9.0678,3.2164,2.2326,0.990412796690118
19,10.0,10.0,10.0,-3.5314,11.1363,0.9825922927419749
20,9.7928,0.799,9.7002,-1.3864,14.031,0.9870041528328659
21,-10.0,-10.0,-10.0,2.8742,6.6000000000000005,0.9834630945233216
22,-10.0,-10.0,-10.0,3.4138,15.627600000000001,0.9689984815008099
23,10.0,10.0,10.0,0.8296,6.568200000000001,0.9657557650635674
24,-10.0,-10.0,-10.0,9.4848,11.1621,0.9892459245023815
25,10.0,10.0,10.0,-10.0,2.2602,0.9952638363617476
26,10.0,10.0,10.0,-9.6178,2.1300000000000003,0.9880878712326688
27,-10.0,-10.0,-10.0,10.0,2.0541,0.9688258498390471
28,10.0,10.0,10.0,-9.739600000000001,2.3391,0.9831324939552798
29,10.0,10.0,10.0,-10.0,2.3145000000000002,0.98828112552534
30,10.0,10.0,10.0,-9.2528,15.570900000000002,0.9864074320617093
31,10.0,10.0,10.0,-3.5174000000000003,6.552600000000001,0.9757865715615494
32,2.5196,-10.0,2.4424,-10.0,20.94,0.9897793800011717
33,-10.0,-6.6504,-10.0,7.477,29.999700000000004,0.9682345442081799
34,10.0,10.0,10.0,1.2152,2.1618000000000004,0.9785963412836178
35,10.0,10.0,10.0,-10.0,20.0334,0.9805203488371718
36,-10.0,-10.0,-10.0,-1.469,6.735600000000001,0.9712055358524457
37,10.0,10.0,10.0,-4.9468000000000005,6.621600000000001,0.9890889702582322
38,-10.0,-10.0,-10.0,10.0,6.5262,0.9755555737855273
39,10.0,10.0,10.0,-10.0,15.408600000000002,0.9660988265930246
40,10.0,10.0,10.0,-3.1308000000000002,6.641400000000001,0.9879277877474626
41,-10.0,-10.0,-10.0,8.3484,2.2236000000000002,0.996082920558216
42,-10.0,-10.0,-10.0,0.23700000000000002,2.1678,0.984352457044818
43,10.0,10.0,10.0,-7.5354,10.981800000000002,0.9727673060613378
44,-8.664200000000001,-8.5454,-8.7324,7.4712000000000005,2.3463000000000003,0.9653474962905291
45,-10.0,-10.0,-10.0,10.0,6.727200000000001,0.9916028482191168
46,-10.0,-10.0,-10.0,5.9556000000000004,2.3664,0.9745061949788509
47,-10.0,-4.9272,-10.0,10.0,25.786800000000003,0.9725229375854922
48,-9.062000000000001,-0.6394000000000001,-9.0176,5.4484,13.536600000000002,0.9728250273378977
49,-7.423,-7.363,-7.2666,6.0236,6.6081,0.9878857514283497
50,-10.0,-10.0,-10.0,9.169,6.772200000000001,0.983886487107505
51,10.0,5.215800000000001,10.0,-10.0,7.772400000000001,0.9694209911107565
52,-9.224,4.2766,-9.1586,9.932,22.338600000000003,0.9841245258642476
53,-10.0,-10.0,-10.0,10.0,2.2332,0.996563765874706
54,-10.0,-10.0,-10.0,10.0,2.0496000000000003,0.9673344214918507
55,-10.0,-10.0,-10.0,8.7222,11.133000000000001,0.9906179070314332
56,-9.8414,-2.244,-9.7766,1.3052000000000001,12.283500000000002,0.9729217745632146
57,-10.0,-10.0,-10.0,10.0,15.508200000000002,0.9852568264797119
58,-9.3786,-9.1522,-9.113800000000001,9.5946,2.3058,0.9735623067949184
59,10.0,6.6778,10.0,-3.9456,5.761500000000001,0.9717911992396272
60,-10.0,-10.0,-10.0,3.4732000000000003,6.6816,0.9893477493044809
61,10.0,10.0,10.0,0.2826,6.657900000000001,0.9797158645942348
62,-9.9222,-10.0,-10.0,7.5772,6.696000000000001,0.9908057290586911
63,-10.0,-10.0,-10.0,10.0,2.3970000000000002,0.9667222192821568
64,-10.0,-6.7052000000000005,-10.0,10.0,5.740500000000001,0.9854841430479082
65,9.727400000000001,9.6602,9.399600000000001,-4.1206000000000005,2.3268000000000004,0.9653742403395023
66,-9.9114,-8.3,-9.7994,6.936800000000001,4.0323,0.9691388108595391
67,10.0,10.0,10.0,-0.2908,2.1276,0.9784112784969207
68,-10.0,-10.0,-10.0,10.0,6.6603,0.9951195118558521
69,10.0,10.0,10.0,-0.89,2.1336000000000004,0.9807362952886545
70,-9.928600000000001,-9.9298,-9.8916,3.0942000000000003,2.3193,0.9846725241663217
71,-10.0,-10.0,-10.0,7.905200000000001,6.703200000000001,0.992731329348916
72,-10.0,-10.0,-10.0,4.333,11.241600000000002,0.9694948915676688
73,10.0,10.0,10.0,-10.0,2.1264000000000003,0.9875436887926796
74,10.0,10.0,10.0,-10.0,2.1687000000000003,0.9938093764831964
75,-10.0,-10.0,-10.0,-1.5090000000000001,2.193,0.9802933283718288
76,-10.0,-10.0,-10.0,3.6224000000000003,6.706200000000001,0.9884172071527882
77,-10.0,-10.0,-10.0,-2.0886,2.1324,0.9702697481711086
78,-10.0,-10.0,-10.0,-0.8856,6.658500000000001,0.9766659203804342
79,10.0,10.0,10.0,1.2446000000000002,6.729000000000001,0.9732330223134276
