,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Bias_7,Time,Fidelity
0,-10.0,-2.6536,-10.0,-0.9022,-10.0,-1.1880000000000002,-10.0,21.207,0.5862499457420477
1,-10.0,4.0544,-10.0,-10.0,-10.0,-1.6108,-10.0,29.999700000000004,0.6817025259524776
2,-10.0,0.2874,-10.0,-3.7352000000000003,-10.0,0.6208,-10.0,28.5924,0.6587712885973712
3,-10.0,-10.0,-9.3648,-10.0,-10.0,-10.0,-10.0,4.027200000000001,0.6611423882290279
4,-10.0,-2.4004000000000003,-10.0,-10.0,-10.0,-1.3242,-10.0,29.999700000000004,0.8452762739698834
5,-10.0,0.30820000000000003,-10.0,-7.474600000000001,-10.0,-0.7916000000000001,-10.0,29.999700000000004,0.9285384264180132
6,-10.0,-3.4290000000000003,-10.0,-6.1486,-10.0,-2.1334,-10.0,26.688000000000002,0.7064597958534292
7,10.0,1.4934,9.9552,-0.05,10.0,-2.0754,10.0,29.999700000000004,0.6291861239187992
8,-10.0,-3.0296000000000003,-10.0,-7.461600000000001,-10.0,-2.819,-10.0,22.6518,0.8672022412158483
9,10.0,1.135,10.0,10.0,10.0,0.34600000000000003,10.0,23.436600000000002,0.7703595850887741
10,-10.0,-3.1268000000000002,-10.0,-3.8864,-10.0,2.1316,-10.0,29.999700000000004,0.595753988529641
11,4.093,5.8790000000000004,6.2312,4.3596,6.6936,5.5666,4.0658,12.8106,0.6764054054590112
12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.708500000000001,0.8453030638024226
13,-10.0,-2.43,-10.0,-10.0,-10.0,0.399,-10.0,20.9892,0.6322262301770407
14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.450500000000001,0.880488629978929
15,10.0,0.995,10.0,2.4626,10.0,2.8458,10.0,22.835400000000003,0.6170376685772604
16,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,12.7428,0.6792943510526424
17,10.0,1.1338000000000001,10.0,10.0,10.0,2.9628,10.0,21.3363,0.8017098220631298
18,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.494000000000001,0.8820170790741824
19,-10.0,-1.5496,-10.0,-10.0,-10.0,-3.2288,-10.0,29.999700000000004,0.6750358562321537
20,10.0,2.8442000000000003,10.0,8.8794,10.0,3.857,10.0,21.1275,0.9171058865638186
21,-10.0,0.5378000000000001,-10.0,-9.267000000000001,-10.0,-2.4936000000000003,-10.0,24.189000000000004,0.7791735991280259
22,-10.0,-10.0,-10.0,-10.0,-10.0,-9.2722,-10.0,4.1637,0.704247941036905
23,10.0,-0.47900000000000004,10.0,10.0,10.0,-1.8632000000000002,10.0,25.831200000000003,0.6621980530754501
