,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Time,Fidelity
0,10.0,10.0,10.0,-5.8918,2.3776,6.793800000000001,0.9768763341219694
1,-10.0,-10.0,-10.0,10.0,-10.0,2.0952,0.9781958241932289
2,10.0,10.0,10.0,-10.0,10.0,2.2866000000000004,0.9893185584193862
3,-10.0,-10.0,-10.0,9.1388,-3.6698000000000004,6.628800000000001,0.9930791684963707
4,-10.0,-10.0,-10.0,1.3216,10.0,2.1354,0.981718752093036
5,-10.0,-10.0,-10.0,0.1164,10.0,6.6207,0.9782738345015971
6,-10.0,-10.0,-10.0,10.0,10.0,15.663900000000002,0.9762649945333021
7,-10.0,-10.0,-10.0,10.0,10.0,2.2722,0.9941974865130224
8,10.0,10.0,10.0,-10.0,-10.0,6.744600000000001,0.9892080283000445
9,10.0,10.0,10.0,-10.0,3.7722,11.0487,0.98793986115982
10,-9.2164,-9.1004,-8.942400000000001,9.9488,1.8536000000000001,11.0403,0.9832645078506072
11,10.0,10.0,10.0,-10.0,-10.0,11.150100000000002,0.9906430647317469
12,-10.0,-10.0,-10.0,10.0,-7.6412,6.7182,0.992130909553007
13,-10.0,-10.0,-10.0,4.4068000000000005,-10.0,2.2230000000000003,0.9879135943887811
14,-10.0,-10.0,-10.0,10.0,10.0,2.1276,0.9877522615008164
15,-10.0,-10.0,-10.0,5.0218,2.7202,6.551400000000001,0.9775884879537232
16,-10.0,-10.0,-10.0,10.0,10.0,2.1324,0.9886298891519851
17,10.0,10.0,10.0,-9.7552,9.443800000000001,11.007900000000001,0.9791794950551836
18,-8.9702,-9.1446,-9.0806,8.9138,-4.1738,2.2041000000000004,0.987061104310545
19,10.0,10.0,9.9128,-7.259,-10.0,6.7278,0.992405158457105
20,-10.0,-10.0,-10.0,10.0,10.0,15.5691,0.9873501515072307
21,10.0,10.0,10.0,-1.8324,4.0246,6.709200000000001,0.9843508079188588
22,10.0,10.0,10.0,-1.7208,2.8022,6.610200000000001,0.9817591126426516
