,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Bias_7,Time,Fidelity
0,-10.0,-9.9924,-10.0,-10.0,10.0,3.4074,10.0,2.5143000000000004,0.8887113880518805
1,10.0,10.0,10.0,10.0,-0.186,10.0,-10.0,2.9523,0.9286810724009901
2,10.0,10.0,10.0,10.0,-0.0142,-5.0384,-3.8408,2.9802000000000004,0.9337488413499768
3,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,2.9967,0.9323705777753295
4,-10.0,-10.0,-10.0,-10.0,-0.802,-10.0,-3.4308,2.6841000000000004,0.9308775790821817
5,10.0,10.0,10.0,10.0,-5.4974,-10.0,10.0,2.8800000000000003,0.9629576691676506
6,10.0,10.0,10.0,10.0,-10.0,-0.7498,10.0,3.0189000000000004,0.9279202128810969
7,-10.0,-10.0,-10.0,-10.0,7.851,-10.0,10.0,2.7762000000000002,0.9637797561753592
8,10.0,10.0,10.0,10.0,1.1428,2.9294000000000002,0.2682,2.6475000000000004,0.9299430970371476
9,-10.0,-10.0,-10.0,-10.0,10.0,0.8114,-10.0,2.6385,0.9413868310888619
10,10.0,10.0,10.0,10.0,-10.0,10.0,6.925000000000001,22.722600000000003,0.8780951507920357
11,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,2.9973,0.9360817068579105
12,-10.0,-10.0,-10.0,-10.0,10.0,0.5014000000000001,9.7856,2.8053000000000003,0.9695433439740634
13,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,2.7882000000000002,0.9659745444048824
14,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,2.5404000000000004,0.9018654630390154
15,-10.0,-10.0,-10.0,-10.0,-4.8798,8.134,-10.0,2.7684,0.921275157908289
16,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-7.242,2.8293000000000004,0.9664138823695152
17,10.0,10.0,10.0,10.0,-10.0,-1.0282,10.0,3.0096000000000003,0.9315215080702254
18,-10.0,-10.0,-10.0,-10.0,2.645,1.2712,-7.5826,22.428600000000003,0.896999990136446
19,-10.0,-10.0,-10.0,-10.0,6.556,10.0,-10.0,2.7495000000000003,0.9644644832372189
20,10.0,10.0,10.0,10.0,-10.0,4.4748,-8.7424,2.8710000000000004,0.9659842641013388
21,-10.0,-10.0,-10.0,-10.0,-5.0318000000000005,10.0,-10.0,2.8164000000000002,0.9211722404818864
22,-10.0,-10.0,-10.0,-10.0,1.683,10.0,-1.7612,2.7315,0.9572089725585697
23,10.0,10.0,10.0,10.0,-10.0,-1.4442000000000002,10.0,2.9703000000000004,0.9449895493342787
24,10.0,10.0,10.0,10.0,-7.1006,-10.0,10.0,2.6922,0.9548949142575774
25,-10.0,-10.0,-10.0,-10.0,3.7128,10.0,10.0,2.9664,0.9431038176562768
26,-10.0,-10.0,-10.0,-10.0,10.0,-8.9186,6.4924,2.5326000000000004,0.8961055934412333
27,10.0,10.0,10.0,10.0,4.6946,-10.0,1.56,2.8023000000000002,0.9275378153364091
28,-10.0,-10.0,-10.0,-10.0,1.9534,6.0364,2.1316,2.9634000000000005,0.9420971468674807
29,10.0,10.0,10.0,10.0,-10.0,-2.6786000000000003,2.366,2.7687000000000004,0.9678652642461282
30,-10.0,-10.0,-10.0,-10.0,10.0,10.0,7.968400000000001,3.0342000000000002,0.921717013521593
31,10.0,10.0,10.0,10.0,-5.9026000000000005,-10.0,10.0,2.5992,0.9255288259846985
32,10.0,10.0,10.0,10.0,-10.0,7.839600000000001,10.0,2.7873,0.9679444974979269
33,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,2.9823000000000004,0.9373447711063574
34,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,2.9685,0.9455859207925464
35,-10.0,-10.0,-10.0,-10.0,-5.9492,10.0,10.0,2.8377000000000003,0.8972564337468985
36,-10.0,-10.0,-10.0,-10.0,10.0,0.7348,0.16840000000000002,2.8770000000000002,0.9653362641510582
37,-10.0,-10.0,-10.0,-10.0,0.227,-5.8874,-2.3138,2.6868000000000003,0.9442231724293446
38,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,2.826,0.9693827225235437
39,-10.0,-10.0,-10.0,-10.0,-0.6608,4.7058,0.5292,2.571,0.9038116628649793
40,-10.0,-10.0,-10.0,-10.0,-2.1232,-10.0,10.0,2.5836,0.8903249065380039
41,-10.0,-10.0,-10.0,-10.0,10.0,0.49000000000000005,-1.5464,2.9001,0.9618559789054189
42,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,2.8041000000000005,0.9663638805270021
43,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,2.676,0.9522328862631122
44,10.0,10.0,10.0,10.0,-0.2684,-10.0,-10.0,2.9694000000000003,0.9376278124685994
45,10.0,10.0,10.0,10.0,-8.6716,-10.0,0.6786,22.614600000000003,0.9094955267862082
46,-10.0,-10.0,-10.0,-10.0,10.0,10.0,7.433000000000001,2.6391000000000004,0.9416301533602724
47,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,2.6475000000000004,0.9416948399362652
48,-10.0,-10.0,-10.0,-10.0,10.0,3.096,10.0,28.278900000000004,0.9426567140471435
49,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,2.8146000000000004,0.969582523356406
50,10.0,10.0,10.0,10.0,0.9044000000000001,-2.6302000000000003,7.2586,2.9013000000000004,0.9501563983806516
51,10.0,10.0,10.0,10.0,4.4588,10.0,-0.035,2.9355,0.8848776212172291
52,10.0,10.0,10.0,10.0,-10.0,10.0,-3.4868,2.9571,0.9451522293350293
53,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-9.451600000000001,3.0687,0.9030866830845725
54,10.0,10.0,10.0,10.0,4.6006,10.0,10.0,2.7612,0.9004821892241756
55,-10.0,-10.0,-10.0,-10.0,9.8632,4.567200000000001,-10.0,2.6742000000000004,0.9517081517027715
56,10.0,10.0,10.0,10.0,-9.5144,-10.0,10.0,3.0432,0.9177061856571613
57,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,3.0609,0.905658113544779
58,10.0,10.0,10.0,10.0,-10.0,-9.337,-10.0,2.8584,0.9674135490756679
59,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,3.0456000000000003,0.9167863436330681
60,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,28.207200000000004,0.9476210646151495
61,10.0,10.0,10.0,10.0,0.761,-7.3772,1.2634,2.7549,0.9545626908262695
62,10.0,10.0,10.0,10.0,-0.2412,-10.0,-0.5068,3.0576000000000003,0.9044455673500591
63,10.0,10.0,10.0,10.0,-2.7084,-10.0,-0.2782,3.0189000000000004,0.9241471554408064
64,10.0,10.0,10.0,10.0,-10.0,0.19940000000000002,-3.3808000000000002,22.326600000000003,0.9012338859786448
65,-10.0,-9.678,-10.0,-10.0,10.0,10.0,10.0,2.9079,0.9275036955723701
66,10.0,10.0,10.0,10.0,-10.0,-3.648,-1.4716,2.9334000000000002,0.9550485191879176
67,10.0,10.0,10.0,10.0,1.4002000000000001,-10.0,-10.0,2.8782,0.9519400550066694
68,10.0,10.0,10.0,10.0,-10.0,2.1492,-1.9524000000000001,27.951900000000002,0.9469808990079853
69,10.0,10.0,10.0,9.7728,-3.7988000000000004,-7.937600000000001,8.9038,2.5644000000000005,0.9041359247474144
70,-10.0,-10.0,-10.0,-10.0,-4.44,-8.2842,4.1652000000000005,2.7408,0.8953933966053735
71,10.0,10.0,10.0,10.0,-9.925,-1.193,10.0,3.0957000000000003,0.892397820763752
72,-10.0,-10.0,-10.0,-10.0,-1.2804,10.0,10.0,2.7447000000000004,0.9515214677194693
73,-10.0,-10.0,-10.0,-10.0,10.0,-4.0174,-10.0,3.0069000000000004,0.9324156990767337
74,10.0,10.0,10.0,10.0,-4.841200000000001,0.184,-2.8472,2.6544000000000003,0.9435119043094806
75,-10.0,-10.0,-10.0,-10.0,-4.9086,1.1400000000000001,2.6258,2.9961,0.8969339612433173
76,-10.0,-10.0,-10.0,-9.5982,2.8386,-9.822000000000001,1.2182,2.7720000000000002,0.9220356553986322
77,10.0,10.0,10.0,10.0,3.2914000000000003,-10.0,-10.0,2.5473000000000003,0.8790006948281737
78,10.0,10.0,10.0,10.0,-7.6016,10.0,-9.032,22.420800000000003,0.9293475061361559
79,10.0,10.0,10.0,10.0,0.5592,-10.0,-3.5576000000000003,28.230900000000002,0.890967475217703
80,-10.0,-10.0,-10.0,-10.0,6.647200000000001,10.0,-3.6118,2.6238,0.935043950295746
81,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,2.5743,0.9150388568257654
82,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,2.6130000000000004,0.9326810255165068
83,-10.0,-10.0,-10.0,-10.0,10.0,8.0272,-2.6748000000000003,2.5698000000000003,0.9153631008598497
84,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,2.9892000000000003,0.938906780861757
85,-10.0,-10.0,-10.0,-10.0,-4.7194,-1.6440000000000001,10.0,2.6907,0.9093499338079771
86,-10.0,-10.0,-10.0,-10.0,1.46,10.0,-0.8160000000000001,2.9754000000000005,0.9378509333864113
87,10.0,10.0,10.0,10.0,-10.0,-4.1756,-10.0,2.8296,0.9692523155092982
88,10.0,10.0,10.0,10.0,-10.0,-7.5966000000000005,1.3738000000000001,2.8305000000000002,0.9692270598156234
89,-10.0,-10.0,-10.0,-10.0,10.0,4.771,10.0,3.1182000000000003,0.8801799917881674
90,-10.0,-10.0,-10.0,-10.0,0.6204000000000001,0.5276000000000001,4.6794,2.6331,0.9309851289702735
91,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,3.0672,0.9068115784675466
92,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,2.7834000000000003,0.966430038477929
93,10.0,10.0,10.0,10.0,-10.0,-9.5638,-10.0,2.9163,0.9588298044412735
94,-10.0,-6.3016000000000005,-4.766,-10.0,10.0,10.0,-10.0,29.999700000000004,0.8791679983729513
95,10.0,10.0,10.0,10.0,-10.0,-0.5334,-10.0,22.5378,0.9233916636862639
96,10.0,10.0,10.0,10.0,1.1108,0.1658,10.0,3.0483000000000002,0.9050416614584993
97,10.0,10.0,10.0,10.0,-10.0,9.3194,-7.180400000000001,2.7510000000000003,0.9632023122280571
98,10.0,10.0,10.0,10.0,-10.0,10.0,9.9938,2.9628,0.9444307573872045
99,10.0,10.0,10.0,10.0,-8.814400000000001,10.0,10.0,2.5008000000000004,0.8793025531211696
