,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Time,Fidelity
0,10.0,10.0,10.0,10.0,-10.0,-10.0,2.6862000000000004,0.9547413446121323
1,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,2.4816000000000003,0.8690371116204513
2,10.0,10.0,10.0,10.0,-2.1642,10.0,2.826,0.9554730146696104
3,-10.0,-7.142200000000001,-5.4838000000000005,-10.0,2.5420000000000003,-0.9420000000000001,19.8531,0.8334346538248929
4,10.0,10.0,10.0,10.0,0.2632,10.0,3.1749000000000005,0.8214020580574481
5,10.0,10.0,10.0,10.0,-10.0,-10.0,2.4879000000000002,0.8745240529110914
6,9.450000000000001,10.0,10.0,10.0,2.8926000000000003,-5.6812000000000005,2.8092,0.8215992584484928
7,-10.0,-10.0,-10.0,-10.0,4.2562,10.0,3.0081,0.9296007761368535
8,-10.0,-7.574000000000001,-6.3468,-10.0,-0.6758000000000001,10.0,20.821800000000003,0.8267856442978788
9,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,28.025100000000002,0.958641072075049
10,-10.0,-10.0,-10.0,-10.0,10.0,-0.0412,2.8395,0.9687773706939242
11,-2.8186,0.1178,2.3584,-2.8552,4.6888000000000005,-10.0,27.065400000000004,0.8346509920840137
12,10.0,10.0,10.0,10.0,-10.0,10.0,2.7888,0.9659687488065981
13,10.0,10.0,10.0,10.0,-10.0,1.9826000000000001,22.4796,0.9253921845844106
14,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,22.594800000000003,0.9198952762188989
15,10.0,10.0,10.0,10.0,-10.0,10.0,2.7060000000000004,0.9562316048693087
16,-10.0,-10.0,-10.0,-10.0,9.123000000000001,10.0,2.6487000000000003,0.9443099910517432
17,9.017000000000001,9.174000000000001,8.9046,8.733600000000001,5.2952,-6.2454,3.0180000000000002,0.8646216568443943
18,7.3660000000000005,3.6316,3.7148000000000003,7.2666,-4.760400000000001,7.227600000000001,22.210800000000003,0.8953858738839068
19,-10.0,-10.0,-10.0,-10.0,0.5878,-10.0,2.6139,0.9162721097418429
20,-10.0,-10.0,-10.0,-10.0,-1.2258,-1.6508,22.745400000000004,0.8257378486311207
21,10.0,10.0,10.0,10.0,-10.0,10.0,3.1464000000000003,0.8592125489695386
22,10.0,10.0,10.0,10.0,0.6476000000000001,10.0,2.4294000000000002,0.8209403288556513
23,-10.0,-10.0,-10.0,-10.0,9.7604,10.0,2.7441000000000004,0.9652253613606768
24,-10.0,-10.0,-10.0,-10.0,10.0,-5.424,2.8695000000000004,0.9661050217387828
25,8.951,8.7278,8.8352,9.2174,-7.682600000000001,-8.4842,2.9481,0.8775679011729556
26,-10.0,-10.0,-10.0,-10.0,3.2824,10.0,2.604,0.9250811480873802
27,-10.0,-10.0,-10.0,-10.0,10.0,10.0,22.436700000000002,0.9231419003745429
28,-10.0,-10.0,-10.0,-10.0,3.9160000000000004,1.8924,2.9073,0.9574166337232848
29,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,2.5539,0.906016721914493
30,10.0,10.0,10.0,10.0,-10.0,-6.4892,2.9952,0.9368316297847525
31,-10.0,-10.0,-10.0,-10.0,-5.0702,-1.8472000000000002,3.1326000000000005,0.8365840461843449
32,10.0,10.0,10.0,10.0,-1.5328000000000002,10.0,2.6079000000000003,0.9171853332477947
33,-10.0,-10.0,-10.0,-10.0,10.0,10.0,3.1311000000000004,0.8727836034701532
34,-10.0,-10.0,-10.0,-10.0,6.1160000000000005,0.9606,3.1755000000000004,0.8442723369839736
35,-10.0,-10.0,-10.0,-10.0,10.0,-9.1394,2.685,0.9518944334760306
36,-10.0,-10.0,-10.0,-10.0,10.0,5.0774,2.4732000000000003,0.8661590237104301
37,10.0,10.0,10.0,10.0,-10.0,10.0,2.5758,0.915653916662718
38,-10.0,-10.0,-10.0,-10.0,0.4786,3.1616,28.0422,0.9071929655109816
39,-10.0,-10.0,-10.0,-10.0,3.0692,-2.4850000000000003,2.7402,0.9602175152016206
40,-4.132000000000001,-2.916,-2.307,-4.4336,-10.0,5.2982000000000005,5.9529000000000005,0.8333854859458416
41,-8.9826,-9.3742,-9.9052,-9.3084,4.0502,-1.008,2.8389,0.8232908800434576
42,10.0,10.0,9.4924,10.0,-6.2066,7.660200000000001,2.8749000000000002,0.8755269552560038
43,10.0,10.0,10.0,10.0,-10.0,-10.0,28.4355,0.8712869745856517
44,10.0,10.0,10.0,10.0,-1.2532,-7.091,3.1338000000000004,0.866538648801209
45,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,2.7588000000000004,0.963945342225216
46,-10.0,-10.0,-10.0,-10.0,10.0,6.639200000000001,2.8014,0.9695103878900562
47,10.0,10.0,10.0,10.0,-10.0,4.6394,2.5776000000000003,0.9185746118866196
48,10.0,10.0,10.0,10.0,-10.0,-10.0,2.4147000000000003,0.8301533041320477
49,10.0,10.0,10.0,10.0,-10.0,-2.5792,2.5215,0.892465575092262
50,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,3.1083000000000003,0.8813444574776287
51,-8.8198,-9.837200000000001,-10.0,-8.5944,-2.2768,-10.0,6.2697,0.9219271024935893
52,10.0,10.0,10.0,10.0,0.4924,-10.0,3.0408000000000004,0.9102901676811979
53,10.0,10.0,10.0,10.0,0.8964000000000001,-10.0,2.697,0.9445237021545669
54,10.0,10.0,10.0,10.0,-10.0,-10.0,2.9307000000000003,0.9556940104352933
55,10.0,10.0,10.0,10.0,-8.565000000000001,6.603400000000001,2.4798000000000004,0.8689519209617785
56,10.0,10.0,10.0,10.0,-10.0,-10.0,3.123,0.87746239015174
57,-10.0,-10.0,-10.0,-10.0,-0.49520000000000003,6.21,2.4492000000000003,0.8407167580867345
58,-10.0,-10.0,-10.0,-10.0,-6.1696,-4.1606000000000005,2.6424000000000003,0.8489462866256583
59,-9.440800000000001,-6.524,-6.119000000000001,-9.398,1.0270000000000001,-8.6364,17.1933,0.8697224902480234
60,-7.194800000000001,-3.0292000000000003,-1.8290000000000002,-7.1836,6.0812,-3.6428000000000003,29.999700000000004,0.823085225677098
61,10.0,10.0,10.0,10.0,-10.0,6.3754,2.688,0.9548505314132596
62,10.0,10.0,10.0,10.0,-9.567,-10.0,3.0600000000000005,0.9101234811112453
63,10.0,10.0,10.0,9.9544,-4.2598,0.7348,22.680300000000003,0.900150278071137
64,9.959800000000001,4.872,5.6816,9.8674,-4.4246,7.7094000000000005,29.193900000000003,0.8232104703965364
65,5.8224,9.382200000000001,10.0,5.6878,-3.7960000000000003,6.7704,23.849100000000004,0.8686575073881033
66,-10.0,-10.0,-10.0,-10.0,8.942,-1.9066,2.4132000000000002,0.8287373227372752
67,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,27.7005,0.8302131679039195
68,-10.0,-10.0,-10.0,-10.0,10.0,-2.4424,2.5959000000000003,0.9261282626122767
69,10.0,10.0,10.0,10.0,2.2924,-2.5664000000000002,2.7075000000000005,0.9401124764339981
70,-10.0,-10.0,-10.0,-10.0,-2.031,10.0,2.6733000000000002,0.9338799256947619
71,-10.0,-10.0,-10.0,-10.0,3.4742,-1.5762,2.8101000000000003,0.9656715251889159
72,-10.0,-10.0,-10.0,-10.0,2.9152,10.0,2.9571,0.9450144108293961
73,-10.0,-10.0,-10.0,-10.0,-4.321400000000001,-10.0,2.7585,0.9018614796053828
74,3.9704,2.181,-3.1608,4.2268,-10.0,-6.086,29.128800000000002,0.8363576010668892
75,10.0,10.0,10.0,9.7652,-10.0,-10.0,3.1176000000000004,0.8667036157442963
76,-10.0,-10.0,-10.0,-10.0,-2.8688000000000002,-8.2768,2.8344000000000005,0.9288641426718218
77,10.0,10.0,10.0,10.0,-10.0,4.728000000000001,2.8389,0.9687143460732258
78,-5.554200000000001,-9.18,-9.163400000000001,-5.7724,-9.662600000000001,1.7488000000000001,20.940900000000003,0.9042172456892227
79,-10.0,-10.0,-10.0,-10.0,2.4622,-1.3864,3.0240000000000005,0.9217592979941356
80,-10.0,-10.0,-10.0,-10.0,10.0,10.0,3.0909000000000004,0.8949770868726898
81,10.0,10.0,10.0,10.0,-10.0,10.0,2.4249,0.8349972942917906
82,10.0,10.0,10.0,10.0,-8.489,10.0,2.5476,0.9021771962671272
83,-10.0,-10.0,-10.0,-10.0,10.0,10.0,2.8878000000000004,0.9638662637485302
84,10.0,10.0,10.0,10.0,-10.0,-9.726600000000001,2.4162000000000003,0.8311285327791776
85,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,3.0219000000000005,0.9227187749831032
86,-10.0,-9.814,-10.0,-10.0,6.1516,2.4554,2.7792000000000003,0.955946020388647
87,10.0,10.0,10.0,10.0,0.28340000000000004,-9.0966,2.6184000000000003,0.923763038428846
88,10.0,10.0,10.0,10.0,-10.0,-10.0,27.967800000000004,0.9516673275011459
89,8.5688,8.6434,9.0692,8.837200000000001,-9.8786,4.1892000000000005,2.8377000000000003,0.9190243969463232
90,10.0,10.0,10.0,10.0,-10.0,-9.369200000000001,2.7042,0.9586919197433392
91,-10.0,-10.0,-10.0,-10.0,5.9194,10.0,2.7315,0.9616473392519435
92,-10.0,-10.0,-10.0,-10.0,10.0,5.736000000000001,3.1401000000000003,0.8674607830604444
93,-10.0,-10.0,-9.328000000000001,-10.0,10.0,-8.369200000000001,2.7579000000000002,0.8353633503176043
94,10.0,10.0,10.0,10.0,-9.5294,-2.3134,3.1758,0.8450646872172481
95,-10.0,-10.0,-10.0,-10.0,4.816800000000001,1.4578,2.5260000000000002,0.8919700851358938
96,-10.0,-10.0,-10.0,-10.0,7.0936,-10.0,3.1746000000000003,0.8390622741461251
97,9.4206,9.9512,9.3678,9.1072,1.5016,-4.2636,2.9802000000000004,0.831816502594648
98,10.0,10.0,10.0,10.0,-10.0,-10.0,3.1194,0.8795088240188461
99,-10.0,-10.0,-10.0,-10.0,10.0,10.0,2.6340000000000003,0.9399754067734925
